x; y
2.7800000000000002; 5.16110814571087
2.79; 5.16690975205637
2.8; 5.171600470035187
2.81; 5.1751594371327485
2.8200000000000003; 5.177565790834294
2.83; 5.178798668625106
2.84; 5.178837207990597
2.85; 5.17766054641595
2.86; 5.175247821386577
2.87; 5.171578170387733
2.88; 5.166630730904785
2.89; 5.160384640422961
2.9; 5.152819036427701
2.91; 5.14391305640423
2.92; 5.133645837837776
2.93; 5.121996518213834
2.94; 5.108944235017589
2.95; 5.0944681257343944
2.96; 5.0785473278495346
2.9699999999999998; 5.061160978848378
2.98; 5.042288216216193
2.99; 5.021908177438263
3; 5
3.01; 4.976552311398365
3.02; 4.951591699177385
3.03; 4.925154240893022
3.04; 4.897276014101095
3.05; 4.86799309635731
3.06; 4.837341565217486
3.07; 4.805357498237385
3.08; 4.772076972972997
3.09; 4.73753606697997
3.1; 4.701770857814182
3.11; 4.664817423031678
3.12; 4.626711840187994
3.13; 4.587490186838949
3.14; 4.5471885405405885
3.15; 4.505842978848335
3.16; 4.463489579318463
3.17; 4.420164419506392
3.18; 4.375903576968284
3.19; 4.33074312925973
3.2; 4.28471915393655
3.21; 4.237867728554676
3.22; 4.190224930669757
3.23; 4.141826837837783
3.24; 4.092709527614517
3.25; 4.042909077555834
3.26; 3.992461565217269
3.27; 3.941403068155097
3.2800000000000002; 3.8897696639246817
3.29; 3.8375974300822406
3.3; 3.7849224441833655
3.31; 3.731780783783705
3.32; 3.6782085264394198
3.33; 3.6242417497062718
3.34; 3.5699165311397962
3.35; 3.5152689482961534
3.36; 3.460335078730992
3.37; 3.405150999999961
3.38; 3.3497527896592203
3.39; 3.2941765252644757
3.4; 3.238458284371319
3.41; 3.182634144535797
3.42; 3.1267401833137853
3.43; 3.070812478260933
3.44; 3.0148871069330596
3.45; 2.9590001468860407
3.46; 2.903187675675639
3.47; 2.8474857708579577
3.48; 2.791930509988248
3.49; 2.7365579706227265
3.5; 2.68140423031727
3.51; 2.6265053666275833
3.52; 2.5718974571093156
3.5300000000000002; 2.5176165793183998
3.54; 2.4636988108107687
3.55; 2.410180229142128
3.56; 2.3570969118683536
3.5700000000000003; 2.304484936545265
3.58; 2.2523803807286242
3.59; 2.200819321974137
3.6; 2.1498378378378504
3.61; 2.0994720058754694
3.62; 2.0497579036428135
3.63; 2.000731608695702
3.64; 1.95242919858984
3.65; 1.9048867508812748
3.66; 1.8581403431257115
3.67; 1.8122260528789695
3.68; 1.767179957696868
3.69; 1.7230381351352264
3.7; 1.67983666274975
3.71; 1.637611618096372
3.7199999999999998; 1.5963990787307978
3.73; 1.5562351222091877
3.74; 1.5171558260869062
3.75; 1.4791972679202274
3.76; 1.442395525264402
3.77; 1.4067866756758178
3.7800000000000002; 1.3724067967098392
3.79; 1.3392919659223992
3.8; 1.3074782608694306
3.81; 1.2770017591069802
3.8200000000000003; 1.2478985381904124
3.83; 1.2202046756757738
3.84; 1.1939562491186564
3.85; 1.1691893360751067
3.86; 1.1459400141010576
3.87; 1.1242443607522148
3.88; 1.1041384535840564
3.89; 1.0856583701527427
3.9; 1.0688401880142067
3.91; 1.0537199847239265
3.92; 1.0403338378379487
3.93; 1.028717824911979
3.94; 1.018908023501723
3.95; 1.010940511163227
3.96; 1.0048513654523106
3.9699999999999998; 1.0006766639249065
3.98; 0.9984524841363793
3.99; 0.9982149036427757
4; 1
4.01; 1.0038322632199197
4.02; 1.009689833137486
4.03; 1.0175392620448065
4.04; 1.0273471022327385
4.05; 1.0390799059931624
4.06; 1.052704225617049
4.07; 1.0681866133960511
4.08; 1.0854936216213673
4.09; 1.1045918025854462
4.1; 1.1254477085785766
4.11; 1.1480278918920703
4.12; 1.1722989048179215
4.13; 1.1982272996476695
4.14; 1.2257796286723988
4.15; 1.254922444183535
4.16; 1.2856222984726173
4.17; 1.3178457438308442
4.18; 1.3515593325499822
4.19; 1.3867296169213432
4.2; 1.4233231492361256
4.21; 1.4613064817862096
4.22; 1.5006461668627935
4.23; 1.5413087567568482
4.24; 1.5832608037603677
4.25; 1.626468860164664
4.26; 1.670899478261049
4.27; 1.7165192103409481
4.28; 1.7632946086956736
4.29; 1.811192225616992
4.3; 1.860178613396215
4.31; 1.9102203243243139
4.32; 1.9612839106933961
4.33; 2.0133359247942053
4.34; 2.0663429189190765
4.35; 2.1202714453582985
4.36; 2.1750880564042063
4.37; 2.230759304347771
4.38; 2.2872517414809863
4.39; 2.344531920094255
4.4; 2.402566392479457
4.41; 2.4613217109284733
4.42; 2.520764427732388
4.43; 2.5808610951822857
4.44; 2.641578265570047
4.45; 2.7028824911868696
4.46; 2.764740324324407
4.47; 2.8271183172738574
4.48; 2.8899830223266463
4.49; 2.953300991774654
4.5; 3.0170387779083967
4.51; 3.0811629330202095
4.52; 3.145640009400836
4.53; 3.2104365593417015
4.54; 3.275519135134914
4.55; 3.3408542890716717
4.5600000000000005; 3.4064085734429455
4.57; 3.4721485405406156
4.58; 3.538040742656108
4.59; 3.6040517320801655
4.6; 3.670148061104669
4.61; 3.7362962820212715
4.62; 3.8024629471209437
4.63; 3.8686146086957933
4.64; 3.934717819036564
4.65; 4.000739130434681
4.66; 4.066645095182253
4.67; 4.1324022655697945
4.68; 4.197977193889642
4.69; 4.263336432432311
4.7; 4.328446533490364
4.71; 4.3932740493540905
4.72; 4.4577855323151425
4.73; 4.521947534665401
4.74; 4.585726608695609
4.75; 4.649089306698102
4.76; 4.712002180963623
